file_with_path,path,file_name,slide,mp3,reading_manuscript
./orientation/orientation.tex,./orientation/,orientation.tex,TRUE,,TRUE
./orientation/orientation_2.tex,./orientation/,orientation_2.tex,TRUE,,TRUE
./orientation/orientation_another.tex,./orientation/,orientation_another.tex,TRUE,TRUE,
,./1st_grader/,999quiz.tex,TRUE,TRUE,TRUE
./1st_grader/999quiz_full_vesion.tex,./1st_grader/,999quiz_full_vesion.tex,TRUE,TRUE,TRUE
./1st_grader/099_pronunciation.tex,./1st_grader/,099_pronunciation.tex,TRUE,TRUE,TRUE
./pronunciation/pronunciation_consonant.tex,./pronunciation/,pronunciation_consonant.tex,TRUE,TRUE,TRUE
./pronunciation/pronunciation_vowel.tex,./pronunciation/,pronunciation_vowel.tex,TRUE,TRUE,FALSE
./pronunciation/pronunciation_japanesel.tex,./pronunciation/,pronunciation_japanese.tex,TRUE,TRUE,FALSE
./1st_grader/001_alphabet.tex,./1st_grader/,001_alphabet.tex,TRUE,TRUE,TRUE
./1st_grader/002_sv.tex,./1st_grader/,002_sv.tex,TRUE,TRUE,TRUE
./1st_grader/003_be.tex,./1st_grader/,003_be.tex,TRUE,TRUE,TRUE
./1st_grader/004_verb.tex,./1st_grader/,004_verb.tex,TRUE,TRUE,TRUE
./1st_grader/004_verb_object.tex,./1st_grader/,004_verb_object.tex,TRUE,TRUE,TRUE
./1st_grader/005_pronoun.tex,./1st_grader/,005_pronoun.tex,TRUE,TRUE,TRUE
./1st_grader/005_singular_plural.tex,./1st_grader/,005_singular_plural.tex,TRUE,TRUE,FALSE
./1st_grader/006_negative_be.tex,./1st_grader/,006_negative_be.tex,TRUE,TRUE,FALSE
./1st_grader/007_negative_do.tex,./1st_grader/,007_negative_do.tex,TRUE,TRUE,FALSE
./1st_grader/008_question_be.tex,./1st_grader/,008_question_be.tex,TRUE,TRUE,FALSE
./1st_grader/009_answer_be.tex,./1st_grader/,009_answer_be.tex,TRUE,TRUE,FALSE
./1st_grader/010_question_do.tex,./1st_grader/,010_question_do.tex,TRUE,TRUE,FALSE
./1st_grader/011_answer_do.tex,./1st_grader/,011_answer_do.tex,TRUE,TRUE,FALSE
./1st_grader/012_can.tex,./1st_grader/,012_can.tex,TRUE,TRUE,FALSE
./1st_grader/013_who.tex,./1st_grader/,013_who.tex,TRUE,TRUE,FALSE
./1st_grader/014_when.tex,./1st_grader/,014_when.tex,TRUE,TRUE,FALSE
./1st_grader/015_where.tex,./1st_grader/,015_where.tex,TRUE,TRUE,FALSE
./1st_grader/016_which.tex,./1st_grader/,016_which.tex,TRUE,TRUE,FALSE
./1st_grader/017_how.tex,./1st_grader/,017_how.tex,TRUE,TRUE,FALSE
./1st_grader/018_why.tex,./1st_grader/,018_why.tex,TRUE,TRUE,FALSE
./1st_grader/019_what.tex,./1st_grader/,019_what.tex,TRUE,TRUE,FALSE
./1st_grader/020_whose.tex,./1st_grader/,020_whose.tex,TRUE,TRUE,FALSE
./1st_grader/020a_wh.tex,./1st_grader/,020a_wh.tex,TRUE,TRUE,FALSE
./1st_grader/021_is_ing_intro.tex,./1st_grader/,021_is_ing_intro.tex,TRUE,TRUE,TRUE
./1st_grader/022_is_ing_negative.tex,./1st_grader/,022_is_ing_negative.tex,TRUE,TRUE,FALSE
./1st_grader/023_is_ing_question.tex,./1st_grader/,023_is_ing_question.tex,TRUE,TRUE,FALSE
./1st_grader/024_past_be.tex,./1st_grader/,024_past_be.tex,TRUE,TRUE,FALSE
./1st_grader/025_past_do.tex,./1st_grader/,025_past_do.tex,TRUE,TRUE,FALSE
./1st_grader/026_past_didnot.tex,./1st_grader/,026_past_didnot.tex,TRUE,TRUE,FALSE
./1st_grader/027_past_did_you.tex,./1st_grader/,027_past_did_you.tex,TRUE,TRUE,FALSE
./1st_grader/032_imperative.tex,./1st_grader/,032_imperative.tex,TRUE,TRUE,FALSE
./1st_grader/033_exclamatory.tex,./1st_grader/,033_exclamatory.tex,TRUE,TRUE,FALSE
./1st_grader/041_would_like.tex,./1st_grader/,041_would_like.tex,TRUE,FALSE,FALSE
./1st_grader/042_can_you.tex,./1st_grader/,042_can_you.tex,FALSE,FALSE,FALSE
./2nd_grader/001_there_is.tex,./2nd_grader/,001_there_is.tex,TRUE,TRUE,FALSE
./2nd_grader/005_was_ing_intro.tex,./2nd_grader/,005_was_ing_intro.tex,TRUE,TRUE,FALSE
./2nd_grader/011_be_going_to.tex,./2nd_grader/,011_be_going_to.tex,TRUE,TRUE,FALSE
./2nd_grader/012_will.tex,./2nd_grader/,012_will.tex,TRUE,TRUE,FALSE
./2nd_grader/013_must.tex,./2nd_grader/,013_must.tex,TRUE,TRUE,FALSE
./2nd_grader/014_have_to.tex,./2nd_grader/,014_have_to.tex,TRUE,TRUE,FALSE
./2nd_grader/020_part_of_speech.tex,./2nd_grader/,020_part_of_speech.tex,TRUE,TRUE,FALSE
./2nd_grader/021_when.tex,./2nd_grader/,021_when.tex,TRUE,TRUE,FALSE
./2nd_grader/022_if.tex,./2nd_grader/,022_if.tex,TRUE,TRUE,FALSE
./2nd_grader/023_because.tex,./2nd_grader/,023_because.tex,TRUE,TRUE,FALSE
./2nd_grader/031_infinitive_intro.tex,./2nd_grader/,031_infinitive_intro.tex,TRUE,TRUE,FALSE
./2nd_grader/032_infinitive_noun.tex,./2nd_grader/,032_infinitive_noun.tex,TRUE,TRUE,FALSE
./2nd_grader/033_infinitive_adj.tex,./2nd_grader/,033_infinitive_adj.tex,TRUE,TRUE,FALSE
./2nd_grader/034_infinitive_adv.tex,./2nd_grader/,034_infinitive_adv.tex,TRUE,TRUE,FALSE
./2nd_grader/035_wh_to_do.tex,./2nd_grader/,035_wh_to_do.tex,TRUE,TRUE,FALSE
./2nd_grader/036_gerund.tex,./2nd_grader/,036_gerund.tex,TRUE,TRUE,FALSE
./2nd_grader/041_as_as.tex,./2nd_grader/,041_as_as.tex,TRUE,TRUE,FALSE
./2nd_grader/042_er.tex,./2nd_grader/,042_er.tex,TRUE,TRUE,FALSE
./2nd_grader/043_est.tex,./2nd_grader/,043_est.tex,TRUE,TRUE,FALSE
./2nd_grader/044_more_most.tex,./2nd_grader/,044_more_most.tex,TRUE,TRUE,FALSE
./2nd_grader/045_better_best.tex,./2nd_grader/,045_better_best.tex,TRUE,TRUE,FALSE
./2nd_grader/051_passive.tex,./2nd_grader/,051_passive.tex,TRUE,TRUE,FALSE
./3rd_grader/011_have_pp_intro.tex,./3rd_grader/,011_have_pp_intro.tex,TRUE,TRUE,FALSE
./3rd_grader/012_have_pp_keizoku.tex,./3rd_grader/,012_have_pp_keizoku.tex,TRUE,TRUE,FALSE
./3rd_grader/013_have_pp_keiken.tex,./3rd_grader/,013_have_pp_keiken.tex,TRUE,TRUE,FALSE
./3rd_grader/014_have_pp_kekka.tex,./3rd_grader/,014_have_pp_kekka.tex,TRUE,TRUE,FALSE
./3rd_grader/021_N_ing.tex,./3rd_grader/,021_N_ing.tex,TRUE,TRUE,FALSE
./3rd_grader/022_N_pp.tex,./3rd_grader/,022_N_pp.tex,TRUE,TRUE,FALSE
./3rd_grader/031_N_wh_V.tex,./3rd_grader/,031_N_wh_V.tex,TRUE,TRUE,FALSE
./3rd_grader/032_N_wh_SV.tex,./3rd_grader/,032_N_wh_SV.tex,TRUE,TRUE,FALSE
./3rd_grader/041_mood_intro.tex,./3rd_grader/,041_mood_intro.tex,TRUE,TRUE,FALSE
./3rd_grader/042_mood_i_wish.tex,./3rd_grader/,042_mood_i_wish.tex,TRUE,TRUE,FALSE
./3rd_grader/043_mood_if.tex,./3rd_grader/,043_mood_if.tex,TRUE,TRUE,FALSE
./3rd_grader/051_svc.tex,./3rd_grader/,051_svc.tex,FALSE,FALSE,FALSE
./3rd_grader/052_svoo.tex,./3rd_grader/,052_svoo.tex,FALSE,FALSE,FALSE
./3rd_grader/053_svoc.tex,./3rd_grader/,053_svoc.tex,FALSE,FALSE,FALSE
./3rd_grader/054_v_that_clause.tex,./3rd_grader/,054_v_that_clause.tex,TRUE,TRUE,FALSE
./3rd_grader/055_indirect_question.tex,./3rd_grader/,055_indirect_question.tex,TRUE,TRUE,FALSE
./3rd_grader/061_want_to_etc.tex,./3rd_grader/,061_want_to_etc.tex,FALSE,FALSE,FALSE
./3rd_grader/062_it_for_to.tex,./3rd_grader/,062_it_for_to.tex,TRUE,TRUE,FALSE
,./misc/,001_number.tex,TRUE,TRUE,FALSE
,./misc/,002_day_month_season.tex,TRUE,TRUE,FALSE
,./misc/,003_weather.tex,TRUE,TRUE,FALSE
,./misc/,004_direction.tex,TRUE,TRUE,FALSE
,./misc/,005_phone.tex,FALSE,FALSE,FALSE
